RestaurantName,Category,Pricing,Locality,DiningRating,DiningReviewCount,DeliveryRatingCount
Padmanabham,"South Indian, North Indian, Beverages, Desserts",800," Janpath, New Delhi",4.5,848,224
Manhattan Bar & Brewery,"Finger Food, American, Continental, North Indian, Italian, Beverages",1400," Global Foyer Mall, Golf Course Road, Gurgaon",4.5,4637,0
Brewocrat - Brewery Skybar & Kitchen,"Finger Food, Continental, Mediterranean, Italian, Asian",2000," Elements One Mall, Sector 49, Gurgaon",4.5,634,34
Monkey Bar,"Pizza, Burger, Continental, Chinese, Fast Food, Beverages",2200," Vasant Kunj, New Delhi",4.5,4581,1806
Station Bar,"Chinese, Continental, North Indian, Mughlai, Fast Food, Beverages",1700," Connaught Place, New Delhi",4.5,1533,0
Rajinder Da Dhaba,"North Indian, Chinese, Mughlai",800," Safdarjung, New Delhi",4.5,5936,13600
The Imperial Spice,"North Indian, Continental, Mughlai, Street Food, Fast Food, Beverages",3000," Connaught Place, New Delhi",4.5,940,17
The Turkey Project,"Cafe, Italian, American, Beverages",1400," Defence Colony, New Delhi",4.5,723,1105
ABB - Andrea's Bar & Brasserie,"Italian, Asian, European, Sushi, Thai, Salad, Pizza, Beverages",2000," Khan Market, New Delhi",4.5,643,750
Spectra - The Leela Ambience,"North Indian, Continental, Oriental, Desserts, Beverages",4000," The Leela Ambience, DLF Phase 3, Gurgaon",4.5,968,7
Perch Wine & Coffee Bar,"Beverages, European, Continental",2000," Khan Market, New Delhi",4.5,1424,151
Andhra Bhavan,"South Indian, Andhra",450," Feroze Shah Road, New Delhi",4.5,4379,0
BlackJack,"Fast Food, Beverages",800," Punjabi Bagh, New Delhi",4.5,2361,3
Jamie's Italian,"Italian, Pizza, Pasta, Desserts, Beverages",1000," Ambience Mall, Vasant Kunj, New Delhi",4.5,2848,1154
Moonshine,"Finger Food, Continental, North Indian, Chinese",1700," Hauz Khas, New Delhi",4.5,451,3
Bell Pepperz,"Chinese, Italian, North Indian, Kebab",1300," Ashok Vihar Phase 2, New Delhi",4.5,955,735
Doodle's Garden,"North Indian, Continental, Asian, Beverages",1800," Punjabi Bagh, New Delhi",4.5,570,15
Triveni Terrace Cafe,"Street Food, Desserts, Beverages",400," Mandi House, New Delhi",4.5,2004,454
Mamagoto,"Asian, Chinese, Sushi, Desserts",1000," Select Citywalk Mall, Saket, New Delhi",4.5,2422,3107
Lakhori - Haveli Dharampura,"Mughlai, Street Food, Kebab",2500," Chandni Chowk, New Delhi",4.5,804,0
The Potbelly,"Bihari, Fast Food, Beverages",1000," Chanakyapuri, New Delhi",4.5,1183,395
SodaBottleOpenerWala,"Parsi, North Indian, Rolls, Street Food, Desserts, Beverages",1300," Khan Market, New Delhi",4.5,3075,1432
Al Nawaz Restaurant,"Mughlai, North Indian, Biryani, Kebab",800," Jasola, New Delhi",4.5,772,689
Open Tap,"Finger Food, North Indian, Chinese, Italian, Bar Food",2000," Sector 49, Gurgaon",4.5,1446,0
64/6 -  Country Inn & Suites,"North Indian, Chinese, Thai, Continental",3000," Country Inn & Suites by Carlson, Sahibabad, Ghaziabad",4.5,630,0
Punjab Grill,"North Indian, Mughlai, Biryani, Kebab, Desserts",2500," Pacific Mall, Tagore Garden, New Delhi",4.5,2764,2786
Getafix,"American, Cafe, Healthy Food, Salad, Beverages, Italian, Desserts",1900," Cross Point Mall, DLF Phase 4, Gurgaon",4.5,943,1342
Ziu,"Asian, Thai, Chinese, Sushi, Japanese, Momos",2900," Sangam Courtyard, RK Puram, New Delhi",4.5,808,327
AnnaMaya - Andaz Delhi,"North Indian, European, Beverages, Desserts",2500," Andaz Delhi, Aerocity, New Delhi",4.5,1218,13
Open Tap,"Bar Food, Oriental, Continental, Fast Food, North Indian, Beverages",1600," Sector 29, Gurgaon",4.5,1911,0
Ricos,"Cafe, American, Italian, Mexican",900," Delhi University-GTB Nagar, New Delhi",4.5,6273,17
The Reader's Cafe,"Cafe, Italian, Fast Food, Beverages, Desserts",1000," Indirapuram Habitat Centre, Indirapuram, Ghaziabad",4.5,1961,1277
Pinch Of Spice,"North Indian, Chinese, Kebab, Mughlai, Italian",1600," Rajouri Garden, New Delhi",4.5,1407,3684
Phonebooth Reloaded,"North Indian, Italian, Mexican, Continental",1300," Delhi University-GTB Nagar, New Delhi",4.5,1552,0
Kofuku,"Japanese, Asian, Sushi, Korean",1400," Ansal Plaza Mall, Khel Gaon Marg, New Delhi",4.5,646,1778
Tama Brewery & World Kitchen,"Fast Food, Chinese, Mughlai, North Indian, Beverages",1500," Sector 16, Faridabad",4.5,1591,0
Theobroma,"Desserts, Bakery, Beverages",900," Connaught Place, New Delhi",4.5,913,6160
Tonino,"Italian, Pizza, Pasta, Salad, Beverages",3500," MG Road, New Delhi",4.5,1516,0
Varq - The Taj Mahal Hotel,"Seafood, North Indian, Kebab",4500," The Taj Mahal Hotel, Mansingh Road, New Delhi",4.5,791,0
Feel Alive,"North Indian, Fast Food, Italian, Asian, Continental, Bar Food",2000," Sector 29, Gurgaon",4.5,2467,0
Punjabi Angithi,"North Indian, Chinese, Rolls, Fast Food, Momos",400," Paschim Vihar, New Delhi",4.5,3125,87700
Saundhee Potli,"Biryani, North Indian, Mughlai, Lucknowi, Kebab, Chinese, Rolls, Momos",550," Indirapuram, Ghaziabad",4.5,1123,1700
Raise The Bar Rooftop - Clarens Hotel,"European, Continental, Italian",2800," Clarens Hotel, Sector 29, Gurgaon, Gurgaon",4.5,818,0
Dana Choga,"North Indian, Chinese, Mughlai",600," Sector 14, Gurgaon",4.5,5686,8001
Ji Memsaab - Indian Terrace Restaurant & Bar,"North Indian, Chinese, Mughlai, Continental, Asian, Italian, Beverages",1200," Eros City Square Mall, Sector 49, Gurgaon, Gurgaon",4.5,466,249
Karnataka Food Centre,"South Indian, Beverages",450," R K Puram, New Delhi",4.5,1932,3519
Kake Di Hatti,"North Indian, Beverages",500," Chandni Chowk, New Delhi",4.5,2888,0
Hawa Bar,"Fast Food, Italian, Chinese",1900," Sector 63, Noida",4.5,840,0
Berco's,"Chinese, Thai, Asian, Beverages",900," Hajipur, Noida",4.5,2455,6853
Crepe-fe,"Desserts, Fast Food, American, Beverages, Pizza, Ice Cream",700," Ardee City, Gurgaon",4.5,747,11800
Mr. Crust Bakers,"Bakery, Burger, Fast Food, Beverages",400," Vijay Nagar, New Delhi",4.5,1791,10400
The China Kitchen,"Chinese, Desserts",4500," Hyatt Regency, Bhikaji Cama Place, New Delhi",4.5,621,33
PCO,"Italian, Beverages, Fast Food, North Indian",2200," Vasant Vihar, New Delhi",4.5,711,12
Decode Air Bar,"Modern Indian, Bar Food, Sushi, Italian, Asian",1500," Sector 29, Gurgaon",4.5,1312,0
Giani's di Hatti,North Indian,150," Chandni Chowk, New Delhi",4.5,1329,5
Uptown Fresh Beer Cafe,"Finger Food, North Indian, Italian, European, Continental, Kebab, Momos",1500," DLF Galleria, DLF Phase 4, Gurgaon",4.5,961,0
The Haven International Coffee House,"Cafe, Fast Food, Continental, Beverages, Desserts, Coffee",500," Sector 72, Noida",4.5,282,422
Spago,Italian,2300," Kasbah, Greater Kailash (GK) 1, New Delhi",4.5,574,406
Cafe Amaretto,"Cafe, Italian, Continental, Bakery, Pizza, Desserts",1400," South Point Mall, Golf Course Road, Gurgaon",4.5,917,3334
Madrina,"North Indian, Chinese, Mughlai, Fast Food, Desserts",2100," Ashok Vihar Phase 2, New Delhi",4.5,871,280
Naivedyam,South Indian,500," Hauz Khas Village, New Delhi",4.5,2589,7328
Friction The Drinkery,"Finger Food, North Indian, Continental, Thai, Italian, Chinese",1600," Sector 29, Gurgaon",4.5,1287,3
Little Saigon,Vietnamese,1200," Hauz Khas, New Delhi",4.5,440,155
Sugarama Patisserie,"Bakery, Desserts",300," Shahpur Jat, New Delhi",4.5,713,6127
Fat Butterfly Bakery And Cafe,"Bakery, Cafe, Italian, Fast Food, Desserts",1200," Baani Square, Sector 50, Gurgaon",4.5,643,3615
DJ's Pizza & Pasta,"Pizza, Italian, Fast Food, Pasta",500," Sector 56, Gurgaon",4.5,582,2100
Farmer's Kitchen,"North Indian, Kebab, Mughlai, Biryani, Seafood, Beverages",700," DLF Phase 1, Gurgaon",4.5,556,442
Ice Pice,"Beverages, Ice Cream, Desserts",200," MGF Metropolis Mall, MG Road, Gurgaon",4.5,1076,17200
Mad Batter,"Cafe, Italian, Continental, Tex-Mex, American",1000," Shopping Mall, DLF Phase 1, Gurgaon",4.5,578,3149
Only Bar Restaurant,"Chinese, Fast Food, North Indian, Kebab",500," Bhikaji Cama Place, New Delhi",4.5,91,6
Molecule Air Bar,"North Indian, Asian, Beverages, Italian",1500," Green Park, New Delhi",4.4,652,0
Diggin,"Continental, Cafe, Beverages, Desserts, Italian, Fast Food",1400," Chanakyapuri, New Delhi",4.4,3592,0
Boa Village,"Asian, Japanese, Korean, Chinese, Momos, Thai",2300," Civil Lines, New Delhi",4.4,2228,880
FIO Cookhouse and Bar,"European, Modern Indian, Italian, Desserts",3200," Epicuria Food Mall, Nehru Place, New Delhi",4.4,1529,151
The G.T. Road,"North Indian, Mughlai, Street Food, Chinese, Mithai, Beverages",1400," Connaught Place, New Delhi",4.4,3471,18
MKT,"Oriental, Mexican, Continental, North Indian, Mughlai, Middle Eastern, Desserts, Beverages",3000," Chanakya Mall, Chanakyapuri, New Delhi",4.4,994,346
Norenj Wine Dine & Fresh Beer Cafe,"Continental, North Indian, Chinese, Mughlai, Tex-Mex, Fast Food, Salad",1800," South City 2, Gurgaon",4.4,1387,833
